unique_id,entity_prop,sentence_prop
10pfuyt_jeanie_buss,0.42857142857142855,0.42857142857142855
10pmfv2_jeanie_buss,1.0,0.5
10r6hoq_jeanie_buss,0.5,0.16666666666666666
10sacce_jeanie_buss,0.16666666666666666,0.25
10sjw7k_jeanie_buss,0.15384615384615385,0.1111111111111111
10t48mt_jeanie_buss,0.5714285714285714,0.2
10tuagu_jeanie_buss,0.07142857142857142,0.047619047619047616
10tzey7_jeanie_buss,0.5,0.3333333333333333
10uifa1_jeanie_buss,0.25,0.1111111111111111
10ujmnb_jeanie_buss,0.25,0.16666666666666666
10uk9ev_jeanie_buss,1.0,0.2
10unbdi_jeanie_buss,0.125,0.16666666666666666
10unqgt_jeanie_buss,0.8571428571428571,0.4444444444444444
10uovxp_jeanie_buss,0.25,0.14285714285714285
10uq8zb_jeanie_buss,0.3333333333333333,0.25
10us93y_jeanie_buss,0.25,0.25
10ut7ww_jeanie_buss,0.1111111111111111,0.1111111111111111
10uzj6j_jeanie_buss,0.5,0.25
10ww3nf_jeanie_buss,0.25,0.2222222222222222
10x7wdl_jeanie_buss,1.0,0.3333333333333333
10x8btr_jeanie_buss,1.0,0.2
10xi1mf_jeanie_buss,1.0,0.5
10xkjm9_jeanie_buss,1.0,0.5
10xm6vw_jeanie_buss,1.0,0.3333333333333333
10y5bva_jeanie_buss,0.07142857142857142,0.09090909090909091
10yjw5x_jeanie_buss,0.0196078431372549,0.027777777777777776
10yq56y_jeanie_buss,0.2,0.25
10yu0xc_jeanie_buss,0.3333333333333333,0.125
111c95g_jeanie_buss,0.08333333333333333,0.08333333333333333
117qvx0_jeanie_buss,1.0,0.5
11hec9f_jeanie_buss,0.06666666666666667,0.058823529411764705
11m393n_jeanie_buss,0.3333333333333333,0.16666666666666666
11p1mes_jeanie_buss,1.0,0.3333333333333333
11uezu4_jeanie_buss,0.25,0.2
11uivqo_jeanie_buss,0.125,0.02857142857142857
122t8g6_jeanie_buss,1.0,0.5
126yjfw_jeanie_buss,1.0,0.5
12888kf_jeanie_buss,0.08333333333333333,0.14285714285714285
12izppv_jeanie_buss,1.0,0.5
y2km9z_rob_pelinka,0.5,0.3333333333333333
y4erc3_rob_pelinka,0.14285714285714285,0.2222222222222222
y4g8mj_rob_pelinka,1.0,0.3333333333333333
y6e3vn_rob_pelinka,0.1,0.013888888888888888
y6mjr6_rob_pelinka,0.14285714285714285,0.0625
y7uve6_rob_pelinka,1.0,0.25
y7w2b3_rob_pelinka,1.0,0.5
y7w82o_rob_pelinka,1.0,0.5
y7xhvi_rob_pelinka,0.14285714285714285,0.07142857142857142
y8gob8_rob_pelinka,1.0,0.3333333333333333
y8okg2_rob_pelinka,1.0,0.3333333333333333
y9fkeb_rob_pelinka,0.16666666666666666,0.2
y9k3lb_rob_pelinka,0.5,0.5
y9k5c7_rob_pelinka,1.0,0.4444444444444444
y9kqpj_rob_pelinka,0.2,0.058823529411764705
y9n4ri_rob_pelinka,0.4,0.14285714285714285
y9vbuv_rob_pelinka,0.5,0.5
y9xsec_rob_pelinka,0.3333333333333333,0.3333333333333333
y9zmhi_rob_pelinka,0.5,0.5
ya3gce_rob_pelinka,1.0,0.25
yat9su_rob_pelinka,0.5,0.5
ybupxj_rob_pelinka,0.3333333333333333,0.1
ybuqia_rob_pelinka,0.3333333333333333,0.2857142857142857
ybuz26_rob_pelinka,0.5,0.25
ybvw16_rob_pelinka,1.0,0.25
ybw70h_rob_pelinka,0.14285714285714285,0.2222222222222222
yc0xur_rob_pelinka,0.2,0.15384615384615385
yc5ird_rob_pelinka,1.0,0.3333333333333333
ycdqdh_rob_pelinka,0.09090909090909091,0.05263157894736842
ychsre_rob_pelinka,1.0,0.5
ycjdpn_rob_pelinka,1.0,0.1
ycnb3c_rob_pelinka,0.2,0.25
ydgmga_rob_pelinka,0.5,0.3333333333333333
ye2ndv_rob_pelinka,1.0,0.5
ye7z33_rob_pelinka,1.0,0.5
yeimw0_rob_pelinka,0.8888888888888888,0.6666666666666666
yeiv8e_rob_pelinka,1.0,0.3333333333333333
yeixw1_rob_pelinka,0.3333333333333333,0.5
yejic8_rob_pelinka,1.0,0.5
yeukg2_rob_pelinka,1.0,0.125
yewclr_rob_pelinka,0.09523809523809523,0.09090909090909091
yfw0sv_rob_pelinka,0.2,0.07692307692307693
yfwlfz_rob_pelinka,0.3333333333333333,0.058823529411764705
yg82ej_rob_pelinka,0.4,0.25
yg8d6l_rob_pelinka,0.5,0.16666666666666666
yg9kqn_rob_pelinka,1.0,0.5
yghum7_rob_pelinka,0.3333333333333333,0.07692307692307693
ygn2yn_rob_pelinka,0.045454545454545456,0.025
ygu5bg_rob_pelinka,0.25,0.14285714285714285
ygu5vs_rob_pelinka,0.25,0.14285714285714285
yguved_rob_pelinka,1.0,0.25
yh1nyb_rob_pelinka,0.5,0.1111111111111111
yh21ba_rob_pelinka,1.0,0.5
yhbr36_rob_pelinka,0.8666666666666667,0.5833333333333334
yhfyc3_rob_pelinka,0.1111111111111111,0.1
yhynup_rob_pelinka,0.5,0.25
yi263d_rob_pelinka,1.0,0.25
yktc0a_rob_pelinka,0.2222222222222222,0.18181818181818182
ylk10v_rob_pelinka,0.3333333333333333,0.06666666666666667
yllbxl_rob_pelinka,1.0,0.25
yo6rak_rob_pelinka,0.25,0.06666666666666667
yo8vdq_rob_pelinka,0.5185185185185185,0.16666666666666666
yocbbr_rob_pelinka,0.021739130434782608,0.009900990099009901
yotu6o_rob_pelinka,0.058823529411764705,0.08333333333333333
yoy8vh_rob_pelinka,0.6,0.4
ypcb89_rob_pelinka,1.0,0.5
ypcox0_rob_pelinka,1.0,0.5
ypctt4_rob_pelinka,0.07692307692307693,0.058823529411764705
ypdq84_rob_pelinka,0.16666666666666666,0.18181818181818182
ypud07_rob_pelinka,0.6,0.2857142857142857
yq64xo_rob_pelinka,1.0,0.5
yq89xt_rob_pelinka,0.5,0.5
yqr86t_rob_pelinka,0.5,0.5
yqxje5_rob_pelinka,0.5,0.25
yr6aiz_rob_pelinka,1.0,0.3333333333333333
yr6akx_rob_pelinka,1.0,0.25
yr6em8_rob_pelinka,0.25,0.16666666666666666
yr6m8h_rob_pelinka,0.16666666666666666,0.2
yr6p8v_rob_pelinka,0.75,0.5555555555555556
yr6vtx_rob_pelinka,0.45454545454545453,0.4444444444444444
