,lebron_james_refs,anthony_davis_refs,deangelo_russell_refs,dennis_schroder_refs,austin_reaves_refs,russell_westbrook_refs,patrick_beverley_refs,troy_brown_jr_refs,jarred_vanderbilt_refs,malik_beasley_refs,lonnie_walker_iv_refs,rui_hachimura_refs,thomas_bryant_refs,wenyen_gabriel_refs,kendrick_nunn_refs,max_christie_refs,juan_toscano_anderson_refs,mo_bamba_refs
lebron_james,0,0.08981070721468659,-0.042922922783369434,-0.12205700443235112,-0.13361259973975725,-0.017841595577083758,-0.09585168656478743,-0.07534750493131537,-0.056887256629026856,-0.052523047326799105,-0.10432499526675462,-0.07058145468939231,-0.06643719970365962,-0.082858675676747,-0.060246398160600526,-0.03559661786396055,-0.03193515628630689,-0.03404136070121335
anthony_davis,0.16568865812370726,0,-0.036881778450935834,-0.11261536584739082,-0.12577746244206983,-0.027817374022612418,-0.09258423790624914,-0.07114040363265706,-0.04342725227647478,-0.049774018626829966,-0.0963847673896013,-0.06080386239059965,-0.0513372534237736,-0.07020544844139186,-0.057265399196976915,-0.03541428834302136,-0.03086375192618565,-0.023513514903994677
deangelo_russell,0.014380323278038953,-0.005140264934340055,0,-0.007530487071253977,-0.022495849328409284,-0.10559360404139807,-0.10983611769769407,-0.05257978679620014,0.06779461952003196,0.08600406543283289,-0.09967787751864843,0.007427098130101353,-0.08196451763440833,-0.07531867736639149,-0.07511396623919313,-0.0324716606079432,-0.03992112419110749,0.015641042456008072
dennis_schroder,-0.004135402840336144,-0.013159434383973073,0.045225315415210424,0,0.046399303593233715,0.027552185660683015,0.05785551076214632,0.02450781532451457,-0.010809104937997124,-0.0012150436405808374,0.015503420947418245,0.0031754802360993567,0.023091311500891,-0.01546848586057084,0.017650547637903524,-0.007318550289269969,-0.003749127436329283,-0.008499030372806478
austin_reaves,9.583071560437251e-05,-0.02178609731997136,0.025835703237914315,0.02351471452391804,0,-0.024377209554749285,-0.01825055916003618,-0.0014754485954692753,-0.006673894028315988,0.01671870856616317,0.04432849103887329,-0.005213882021227703,-0.018601373386580466,-0.018291580670459787,-0.02409290450967487,0.016169865419744855,-0.008847900942839888,-0.013247219685950107
russell_westbrook,-0.04460188977340829,-0.0943917375737941,-0.07431739200758708,-0.11681820220341689,-0.1479556471358768,0,-0.05346456298236593,-0.0807555582748339,-0.07553756874726794,-0.0663930803555912,-0.09440662367134184,-0.0859187617645372,-0.06334256233809368,-0.08316453149727485,-0.0304692095273002,-0.03410441718150601,-0.027605731506465593,-0.043322772688835096
patrick_beverley,-0.0694427940972511,-0.08886050594436792,-0.06974976197850608,0.03746514834785222,-0.04310246220072933,0.12139313189081252,0,-0.026250079968292372,-0.06630753296352102,-0.058374141469592127,0.0421934844434968,-0.06526893542394493,-0.004381090267421603,-0.039139921165493016,0.15676297387024074,-0.01255086178318645,0.011374155674335674,-0.02366386077803992
troy_brown_jr,0.055158581224836245,0.04034019218656654,0.01019735643457638,0.14471190224978703,0.11492429856364872,0.0067352157031520254,0.038422021167186377,0,0.03971548766561922,0.03932203335754238,0.13037225212698683,0.09607398183316485,0.05867045787697166,0.08122218501716752,0.00327420239616652,0.029212772312444776,0.05373833994026675,0.010308861528321528
jarred_vanderbilt,0.0032330189694443345,0.05973859813807142,0.15323520135716218,-0.02866741465979447,-0.00827763743277804,-0.10610943229916181,-0.09875438222886182,-0.00405884537203291,0,0.16884488053171248,-0.08821265456955452,0.1450193983030467,-0.06653959846755368,-0.021188291623102512,-0.07116720332468829,-0.019924852577264205,-0.03345838263159174,0.05929455023854811
malik_beasley,-0.013783019551970532,-0.03319793565867743,0.20493499499243967,-0.006727586268353181,0.05982272099016106,-0.10020812532258602,-0.09719759572583875,0.0014442138944672223,0.1954551565139023,0,-0.011350846524950775,0.08730968467935457,-0.07412440712763116,-0.04687526892298304,-0.07064224043413399,-0.017137118606734537,-0.0355944385310885,0.053827695309327586
